"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","10,036","±748","2,243","±425","22.3%","±4.0"
"    AGE","","","","","",""
"        Under 18 years","576","±175","158","±87","27.4%","±14.5"
"            Under 5 years","146","±93","41","±32","28.1%","±24.6"
"            5 to 17 years","430","±140","117","±69","27.2%","±16.0"
"            Related children of householder under 18 years","576","±175","158","±87","27.4%","±14.5"
"        18 to 64 years","8,287","±716","1,866","±408","22.5%","±4.5"
"            18 to 34 years","5,840","±625","1,546","±377","26.5%","±5.8"
"            35 to 64 years","2,447","±317","320","±142","13.1%","±5.6"
"        60 years and over","1,725","±256","354","±126","20.5%","±7.4"
"        65 years and over","1,173","±169","219","±82","18.7%","±7.3"
"    SEX","","","","","",""
"        Male","5,451","±673","901","±264","16.5%","±4.5"
"        Female","4,585","±449","1,342","±326","29.3%","±6.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","8,704","±690","1,898","±397","21.8%","±4.2"
"        Black or African American alone","829","±311","251","±140","30.3%","±17.5"
"        American Indian and Alaska Native alone","0","±16","0","±16","-","**"
"        Asian alone","204","±82","19","±32","9.3%","±15.3"
"        Native Hawaiian and Other Pacific Islander alone","0","±16","0","±16","-","**"
"        Some other race alone","58","±53","42","±46","72.4%","±42.3"
"        Two or more races","241","±121","33","±38","13.7%","±15.1"
"        Hispanic or Latino origin (of any race)","390","±157","114","±73","29.2%","±20.1"
"        White alone, not Hispanic or Latino","8,418","±701","1,842","±394","21.9%","±4.2"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","7,078","±578","957","±244","13.5%","±3.5"
"            Less than high school graduate","325","±139","121","±120","37.2%","±25.3"
"            High school graduate (includes equivalency)","1,589","±306","259","±103","16.3%","±6.7"
"            Some college, associate's degree","1,102","±237","273","±151","24.8%","±12.0"
"            Bachelor's degree or higher","4,062","±451","304","±127","7.5%","±3.2"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","7,043","±694","979","±263","13.9%","±3.5"
"            Employed","6,908","±688","935","±260","13.5%","±3.5"
"                Male","4,152","±633","362","±166","8.7%","±3.8"
"                Female","2,756","±388","573","±198","20.8%","±6.2"
"            Unemployed","135","±68","44","±42","32.6%","±24.9"
"                Male","111","±66","32","±37","28.8%","±26.5"
"                Female","24","±20","12","±20","50.0%","±50.0"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","9,517","±733","2,085","±419","21.9%","±4.1"
"            Worked full-time, year-round in the past 12 months","5,147","±620","141","±95","2.7%","±1.8"
"            Worked part-time or part-year in the past 12 months","2,432","±421","1,197","±333","49.2%","±8.7"
"            Did not work","1,938","±328","747","±211","38.5%","±9.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","1,162","±335","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","2,667","±467","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","3,105","±488","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,847","±603","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","4,011","±629","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","5,152","±648","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,244","±714","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,124","±716","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,607","±678","1,887","±414","28.6%","±5.4"
"    Male","3,785","±629","755","±251","19.9%","±6.1"
"    Female","2,822","±400","1,132","±317","40.1%","±8.3"
"    15 years","0","±16","0","±16","-","**"
"    16 to 17 years","0","±16","0","±16","-","**"
"    18 to 24 years","2,118","±483","1,086","±345","51.3%","±12.4"
"    25 to 34 years","2,613","±433","376","±174","14.4%","±6.2"
"    35 to 44 years","371","±140","1","±3","0.3%","±0.8"
"    45 to 54 years","347","±153","61","±89","17.6%","±21.6"
"    55 to 64 years","440","±153","179","±92","40.7%","±16.4"
"    65 to 74 years","372","±109","102","±63","27.4%","±14.7"
"    75 years and over","346","±104","82","±49","23.7%","±15.0"
"    Mean income deficit for unrelated individuals (dollars)","7,331","±833","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,608","±569","114","±89","3.2%","±2.4"
"    Worked less than full-time, year-round in the past 12 months","1,780","±374","1,094","±324","61.5%","±9.7"
"    Did not work","1,219","±227","679","±209","55.7%","±10.2"
