"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","10,115","±863","2,430","±585","24.0%","±5.0"
"    AGE","","","","","",""
"        Under 18 years","592","±224","280","±166","47.3%","±19.0"
"            Under 5 years","73","±37","33","±26","45.2%","±26.5"
"            5 to 17 years","519","±221","247","±162","47.6%","±21.5"
"            Related children of householder under 18 years","592","±224","280","±166","47.3%","±19.0"
"        18 to 64 years","8,548","±806","2,083","±539","24.4%","±5.4"
"            18 to 34 years","5,877","±747","1,677","±526","28.5%","±7.6"
"            35 to 64 years","2,671","±370","406","±158","15.2%","±5.9"
"        60 years and over","1,474","±264","233","±114","15.8%","±7.5"
"        65 years and over","975","±181","67","±51","6.9%","±5.4"
"    SEX","","","","","",""
"        Male","5,055","±606","942","±385","18.6%","±6.5"
"        Female","5,060","±572","1,488","±403","29.4%","±6.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","8,596","±784","1,968","±508","22.9%","±5.0"
"        Black or African American alone","917","±428","406","±293","44.3%","±26.0"
"        American Indian and Alaska Native alone","0","±18","0","±18","-","**"
"        Asian alone","259","±146","32","±47","12.4%","±18.7"
"        Native Hawaiian and Other Pacific Islander alone","0","±18","0","±18","-","**"
"        Some other race alone","13","±19","0","±18","0.0%","±79.0"
"        Two or more races","330","±163","24","±32","7.3%","±11.1"
"        Hispanic or Latino origin (of any race)","301","±106","128","±75","42.5%","±19.7"
"        White alone, not Hispanic or Latino","8,458","±764","1,931","±507","22.8%","±5.1"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","7,018","±680","937","±311","13.4%","±4.2"
"            Less than high school graduate","376","±170","186","±155","49.5%","±24.6"
"            High school graduate (includes equivalency)","1,312","±316","374","±184","28.5%","±11.9"
"            Some college, associate's degree","1,032","±230","161","±90","15.6%","±8.2"
"            Bachelor's degree or higher","4,298","±514","216","±105","5.0%","±2.4"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","7,040","±719","944","±346","13.4%","±4.5"
"            Employed","6,856","±713","868","±348","12.7%","±4.7"
"                Male","3,615","±438","193","±114","5.3%","±3.0"
"                Female","3,241","±468","675","±306","20.8%","±8.7"
"            Unemployed","184","±79","76","±51","41.3%","±22.5"
"                Male","94","±56","32","±36","34.0%","±32.0"
"                Female","90","±53","44","±33","48.9%","±31.5"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","9,604","±849","2,150","±542","22.4%","±4.9"
"            Worked full-time, year-round in the past 12 months","5,057","±623","79","±46","1.6%","±1.0"
"            Worked part-time or part-year in the past 12 months","2,480","±502","1,177","±407","47.5%","±9.2"
"            Did not work","2,067","±472","894","±333","43.3%","±9.8"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","1,612","±506","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","2,667","±608","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","3,069","±609","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,745","±716","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,836","±722","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","5,023","±797","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,325","±858","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,177","±834","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,324","±709","1,752","±452","27.7%","±6.2"
"    Male","3,092","±424","514","±208","16.6%","±6.0"
"    Female","3,232","±548","1,238","±395","38.3%","±9.8"
"    15 years","0","±18","0","±18","-","**"
"    16 to 17 years","0","±18","0","±18","-","**"
"    18 to 24 years","2,127","±591","1,183","±424","55.6%","±10.0"
"    25 to 34 years","2,451","±513","222","±127","9.1%","±5.4"
"    35 to 44 years","683","±264","63","±69","9.2%","±10.4"
"    45 to 54 years","187","±89","37","±38","19.8%","±16.9"
"    55 to 64 years","374","±130","180","±97","48.1%","±16.9"
"    65 to 74 years","182","±72","18","±21","9.9%","±11.3"
"    75 years and over","320","±113","49","±45","15.3%","±15.4"
"    Mean income deficit for unrelated individuals (dollars)","9,481","±853","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,527","±598","48","±40","1.4%","±1.2"
"    Worked less than full-time, year-round in the past 12 months","1,742","±470","1,035","±398","59.4%","±10.3"
"    Did not work","1,055","±254","669","±221","63.4%","±11.1"
"    Population in housing units for whom poverty status is determined","10,087","±857","2,414","±583","23.9%","±5.0"
