"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","10,713","±824","1,985","±487","18.5%","±4.1"
"    AGE","","","","","",""
"        Under 18 years","537","±196","209","±169","38.9%","±22.7"
"            Under 5 years","45","±26","0","±18","0.0%","±42.5"
"            5 to 17 years","492","±198","209","±169","42.5%","±24.3"
"            Related children of householder under 18 years","536","±195","208","±169","38.8%","±22.9"
"        18 to 64 years","9,003","±800","1,649","±464","18.3%","±4.7"
"            18 to 34 years","6,167","±761","1,282","±414","20.8%","±6.2"
"            35 to 64 years","2,836","±407","367","±170","12.9%","±5.2"
"        60 years and over","1,502","±290","213","±85","14.2%","±6.2"
"        65 years and over","1,173","±241","127","±85","10.8%","±7.5"
"    SEX","","","","","",""
"        Male","5,390","±646","833","±329","15.5%","±5.2"
"        Female","5,323","±595","1,152","±322","21.6%","±5.6"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","8,890","±745","1,636","±411","18.4%","±4.1"
"        Black or African American alone","1,161","±477","253","±267","21.8%","±22.7"
"        American Indian and Alaska Native alone","0","±18","0","±18","-","**"
"        Asian alone","197","±121","18","±23","9.1%","±13.0"
"        Native Hawaiian and Other Pacific Islander alone","0","±18","0","±18","-","**"
"        Some other race alone","37","±40","9","±14","24.3%","±25.6"
"        Two or more races","428","±190","69","±55","16.1%","±13.4"
"        Hispanic or Latino origin (of any race)","310","±151","100","±79","32.3%","±25.2"
"        White alone, not Hispanic or Latino","8,821","±743","1,604","±413","18.2%","±4.2"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","7,562","±650","833","±315","11.0%","±3.8"
"            Less than high school graduate","361","±185","180","±134","49.9%","±21.6"
"            High school graduate (includes equivalency)","1,174","±331","360","±202","30.7%","±13.6"
"            Some college, associate's degree","1,439","±260","133","±70","9.2%","±5.0"
"            Bachelor's degree or higher","4,588","±590","160","±83","3.5%","±1.8"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","7,762","±690","695","±230","9.0%","±2.9"
"            Employed","7,567","±700","601","±211","7.9%","±2.8"
"                Male","3,895","±469","193","±85","5.0%","±2.1"
"                Female","3,672","±553","408","±182","11.1%","±5.0"
"            Unemployed","195","±86","94","±55","48.2%","±23.9"
"                Male","85","±61","31","±37","36.5%","±37.5"
"                Female","110","±69","63","±46","57.3%","±30.2"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","10,279","±750","1,777","±452","17.3%","±4.0"
"            Worked full-time, year-round in the past 12 months","5,894","±666","11","±15","0.2%","±0.2"
"            Worked part-time or part-year in the past 12 months","2,251","±472","905","±303","40.2%","±8.7"
"            Did not work","2,134","±397","861","±311","40.3%","±10.5"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","1,299","±434","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","2,120","±515","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,567","±559","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,115","±637","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,278","±628","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,554","±669","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,001","±732","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,328","±650","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,424","±701","1,376","±376","21.4%","±5.5"
"    Male","3,140","±448","401","±128","12.8%","±4.0"
"    Female","3,284","±572","975","±325","29.7%","±9.3"
"    15 years","0","±18","0","±18","-","**"
"    16 to 17 years","1","±9","1","±9","100.0%","±100.0"
"    18 to 24 years","2,215","±509","885","±316","40.0%","±11.0"
"    25 to 34 years","2,416","±569","125","±89","5.2%","±3.9"
"    35 to 44 years","892","±283","75","±80","8.4%","±8.6"
"    45 to 54 years","155","±88","64","±53","41.3%","±21.3"
"    55 to 64 years","268","±114","108","±72","40.3%","±18.2"
"    65 to 74 years","175","±83","39","±36","22.3%","±19.5"
"    75 years and over","302","±124","79","±74","26.2%","±25.0"
"    Mean income deficit for unrelated individuals (dollars)","9,993","±699","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,962","±683","11","±15","0.3%","±0.4"
"    Worked less than full-time, year-round in the past 12 months","1,541","±433","731","±301","47.4%","±11.7"
"    Did not work","921","±233","634","±179","68.8%","±11.7"
"    Population in housing units for whom poverty status is determined","10,692","±824","1,980","±487","18.5%","±4.1"
