"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,891","±680","2,397","±542","24.2%","±4.6"
"AGE","","","","","",""
"    Under 18 years","643","±181","93","±88","14.5%","±12.7"
"        Related children under 18 years","619","±187","69","±91","11.1%","±13.6"
"    18 to 64 years","8,276","±679","2,169","±522","26.2%","±5.1"
"    65 years and over","972","±140","135","±92","13.9%","±8.8"
"SEX","","","","","",""
"    Male","5,349","±691","1,235","±527","23.1%","±7.5"
"    Female","4,542","±520","1,162","±422","25.6%","±7.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","9,810","±687","2,368","±534","24.1%","±4.6"
"        White","9,265","±697","2,263","±532","24.4%","±4.7"
"        Black or African American","172","±89","86","±89","50.0%","±34.1"
"        American Indian and Alaska Native","19","±29","19","±29","100.0%","±59.7"
"        Asian","210","±109","0","±15","0.0%","±11.2"
"        Native Hawaiian and Other Pacific Islander","0","±15","0","±15","-","**"
"        Some other race","144","±160","0","±15","0.0%","±15.9"
"    Two or more races","81","±66","29","±46","35.8%","±45.4"
"Hispanic or Latino origin (of any race)","277","±184","41","±67","14.8%","±24.3"
"White alone, not Hispanic or Latino","9,115","±709","2,222","±529","24.4%","±4.8"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,198","±410","570","±164","9.2%","±2.5"
"        Less than high school graduate","322","±86","86","±44","26.7%","±12.9"
"        High school graduate (includes equivalency)","1,750","±238","177","±84","10.1%","±4.6"
"        Some college, associate's degree","1,174","±220","172","±89","14.7%","±7.3"
"        Bachelor's degree or higher","2,952","±328","135","±88","4.6%","±2.9"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","6,680","±546","1,376","±429","20.6%","±5.5"
"        Employed","6,309","±545","1,122","±418","17.8%","±5.7"
"            Male","3,602","±477","595","±332","16.5%","±7.7"
"            Female","2,707","±424","527","±307","19.5%","±9.1"
"        Unemployed","371","±119","254","±111","68.5%","±15.4"
"            Male","178","±83","83","±55","46.6%","±21.1"
"            Female","193","±94","171","±96","88.6%","±12.2"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","9,411","±670","2,320","±530","24.7%","±4.6"
"        Worked full-time, year-round in the past 12 months","4,180","±396","99","±97","2.4%","±2.3"
"        Worked part-time or part-year in the past 12 months","3,204","±549","1,640","±426","51.2%","±8.1"
"        Did not work","2,027","±255","581","±192","28.7%","±7.4"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","1,345","±406","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","2,935","±637","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","3,510","±654","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","4,034","±674","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","4,142","±680","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","5,904","±656","2,149","±526","36.4%","±6.4"
"    Male","3,219","±639","1,139","±528","35.4%","±10.9"
"    Female","2,685","±472","1,010","±403","37.6%","±10.1"
"Mean income deficit for unrelated individuals (dollars)","6,691","±634","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","2,602","±358","81","±95","3.1%","±3.6"
"Worked less than full-time, year-round in the past 12 months","2,210","±495","1,533","±412","69.4%","±8.3"
"Did not work","1,092","±208","535","±181","49.0%","±10.4"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","25.7%","(X)","(X)","(X)","(X)","(X)"
