"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,895","±721","2,252","±617","22.8%","±5.2"
"AGE","","","","","",""
"    Under 18 years","542","±182","55","±36","10.1%","±7.2"
"        Under 5 years","132","±107","10","±17","7.6%","±14.9"
"        5 to 17 years","410","±155","45","±33","11.0%","±8.7"
"        Related children of householder under 18 years","516","±180","29","±23","5.6%","±4.9"
"    18 to 64 years","8,139","±667","2,010","±618","24.7%","±6.2"
"        18 to 34 years","5,530","±661","1,702","±619","30.8%","±8.9"
"        35 to 64 years","2,609","±312","308","±135","11.8%","±4.7"
"    60 years and over","1,666","±166","226","±89","13.6%","±5.1"
"    65 years and over","1,214","±136","187","±81","15.4%","±6.4"
"SEX","","","","","",""
"    Male","5,560","±679","1,214","±516","21.8%","±7.4"
"    Female","4,335","±469","1,038","±405","23.9%","±7.5"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    White alone","9,087","±686","2,094","±619","23.0%","±5.7"
"    Black or African American alone","442","±230","81","±72","18.3%","±18.1"
"    American Indian and Alaska Native alone","16","±25","16","±25","100.0%","±61.7"
"    Asian alone","182","±96","0","±16","0.0%","±11.6"
"    Native Hawaiian and Other Pacific Islander alone","0","±16","0","±16","-","**"
"    Some other race alone","51","±45","33","±37","64.7%","±40.0"
"    Two or more races","117","±60","28","±24","23.9%","±19.9"
"Hispanic or Latino origin (of any race)","215","±113","69","±71","32.1%","±30.3"
"White alone, not Hispanic or Latino","8,903","±653","2,034","±587","22.8%","±5.5"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,661","±539","701","±207","10.5%","±2.8"
"        Less than high school graduate","362","±98","80","±47","22.1%","±10.4"
"        High school graduate (includes equivalency)","1,598","±257","231","±100","14.5%","±5.8"
"        Some college, associate's degree","1,208","±226","264","±126","21.9%","±9.0"
"        Bachelor's degree or higher","3,493","±471","126","±88","3.6%","±2.4"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","6,996","±565","1,289","±427","18.4%","±5.5"
"        Employed","6,712","±549","1,104","±426","16.4%","±5.8"
"            Male","4,059","±497","629","±311","15.5%","±7.0"
"            Female","2,653","±395","475","±309","17.9%","±9.7"
"        Unemployed","284","±108","185","±89","65.1%","±13.7"
"            Male","169","±78","90","±58","53.3%","±21.3"
"            Female","115","±59","95","±57","82.6%","±15.2"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","9,415","±680","2,213","±621","23.5%","±5.5"
"        Worked full-time, year-round in the past 12 months","4,796","±513","140","±108","2.9%","±2.2"
"        Worked part-time or part-year in the past 12 months","2,826","±587","1,517","±516","53.7%","±9.8"
"        Did not work","1,793","±266","556","±185","31.0%","±7.9"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"    50 percent of poverty level","1,156","±427","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","2,686","±681","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","3,215","±729","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","3,826","±784","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","3,997","±792","(X)","(X)","(X)","(X)"
"    300 percent of poverty level","5,257","±820","(X)","(X)","(X)","(X)"
"    400 percent of poverty level","6,477","±843","(X)","(X)","(X)","(X)"
"    500 percent of poverty level","7,464","±853","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,367","±759","2,052","±629","32.2%","±7.4"
"    Male","3,757","±689","1,134","±521","30.2%","±10.1"
"    Female","2,610","±496","918","±402","35.2%","±10.2"
"15 years","10","±15","10","±15","100.0%","±78.0"
"16 to 17 years","16","±25","16","±25","100.0%","±61.7"
"18 to 24 years","2,339","±715","1,445","±629","61.8%","±11.4"
"25 to 34 years","2,094","±409","169","±108","8.1%","±4.9"
"35 to 44 years","442","±139","36","±35","8.1%","±7.7"
"45 to 54 years","352","±121","92","±90","26.1%","±19.7"
"55 to 64 years","420","±141","125","±81","29.8%","±15.8"
"65 to 74 years","369","±111","113","±73","30.6%","±14.7"
"75 years and over","325","±82","46","±31","14.2%","±9.4"
"Mean income deficit for unrelated individuals (dollars)","6,472","±598","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","3,226","±509","124","±109","3.8%","±3.4"
"Worked less than full-time, year-round in the past 12 months","2,075","±584","1,436","±521","69.2%","±9.1"
"Did not work","1,066","±223","492","±176","46.2%","±10.1"
