"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,461","±761","2,237","±602","23.6%","±5.2"
"AGE","","","","","",""
"    Under 18 years","513","±160","39","±31","7.6%","±6.3"
"        Under 5 years","53","±46","0","±14","0.0%","±33.1"
"        5 to 17 years","460","±143","39","±31","8.5%","±7.2"
"        Related children of householder under 18 years","490","±155","16","±13","3.3%","±2.9"
"    18 to 64 years","7,812","±740","2,012","±596","25.8%","±6.0"
"        18 to 34 years","4,979","±634","1,718","±570","34.5%","±8.3"
"        35 to 64 years","2,833","±378","294","±119","10.4%","±3.9"
"    60 years and over","1,586","±188","215","±81","13.6%","±4.4"
"    65 years and over","1,136","±142","186","±75","16.4%","±5.8"
"SEX","","","","","",""
"    Male","5,114","±631","1,188","±494","23.2%","±7.6"
"    Female","4,347","±520","1,049","±333","24.1%","±5.7"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    White alone","8,864","±792","2,096","±600","23.6%","±5.4"
"    Black or African American alone","246","±112","99","±67","40.2%","±22.5"
"    American Indian and Alaska Native alone","15","±25","15","±25","100.0%","±63.7"
"    Asian alone","192","±101","0","±14","0.0%","±11.0"
"    Native Hawaiian and Other Pacific Islander alone","0","±14","0","±14","-","**"
"    Some other race alone","51","±37","13","±21","25.5%","±36.4"
"    Two or more races","93","±51","14","±19","15.1%","±19.9"
"Hispanic or Latino origin (of any race)","167","±100","39","±61","23.4%","±30.8"
"White alone, not Hispanic or Latino","8,718","±773","2,057","±578","23.6%","±5.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,158","±463","623","±166","10.1%","±2.5"
"        Less than high school graduate","313","±84","80","±38","25.6%","±11.2"
"        High school graduate (includes equivalency)","1,687","±263","217","±92","12.9%","±5.5"
"        Some college, associate's degree","1,124","±198","200","±94","17.8%","±7.9"
"        Bachelor's degree or higher","3,034","±343","126","±84","4.2%","±2.6"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","6,407","±569","1,275","±394","19.9%","±5.2"
"        Employed","6,089","±545","1,076","±377","17.7%","±5.3"
"            Male","3,622","±431","618","±295","17.1%","±7.2"
"            Female","2,467","±375","458","±239","18.6%","±7.6"
"        Unemployed","318","±107","199","±93","62.6%","±18.2"
"            Male","177","±83","77","±51","43.5%","±23.1"
"            Female","141","±78","122","±77","86.5%","±14.0"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","9,070","±746","2,213","±600","24.4%","±5.3"
"        Worked full-time, year-round in the past 12 months","4,066","±377","110","±92","2.7%","±2.2"
"        Worked part-time or part-year in the past 12 months","3,034","±571","1,561","±489","51.5%","±9.2"
"        Did not work","1,970","±254","542","±170","27.5%","±6.7"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"    50 percent of poverty level","1,191","±394","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","2,776","±639","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","3,343","±673","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","3,896","±686","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","4,015","±688","(X)","(X)","(X)","(X)"
"    300 percent of poverty level","5,068","±708","(X)","(X)","(X)","(X)"
"    400 percent of poverty level","6,346","±747","(X)","(X)","(X)","(X)"
"    500 percent of poverty level","7,331","±698","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","5,847","±675","2,018","±582","34.5%","±7.2"
"    Male","3,292","±620","1,098","±487","33.4%","±10.0"
"    Female","2,555","±403","920","±322","36.0%","±8.6"
"15 years","8","±13","8","±13","100.0%","±87.2"
"16 to 17 years","15","±25","15","±25","100.0%","±63.7"
"18 to 24 years","2,344","±701","1,488","±585","63.5%","±10.6"
"25 to 34 years","1,562","±289","109","±82","7.0%","±5.0"
"35 to 44 years","463","±141","37","±36","8.0%","±7.5"
"45 to 54 years","279","±93","65","±43","23.3%","±12.2"
"55 to 64 years","522","±164","128","±81","24.5%","±14.2"
"65 to 74 years","337","±93","134","±63","39.8%","±15.3"
"75 years and over","317","±75","34","±30","10.7%","±9.3"
"Mean income deficit for unrelated individuals (dollars)","6,604","±609","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","2,622","±363","95","±88","3.6%","±3.3"
"Worked less than full-time, year-round in the past 12 months","2,108","±557","1,418","±473","67.3%","±9.2"
"Did not work","1,117","±200","505","±160","45.2%","±9.8"
