"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","10,639","±822","2,680","±609","25.2%","±5.2"
"    AGE","","","","","",""
"        Under 18 years","542","±158","175","±81","32.3%","±14.3"
"            Under 5 years","137","±93","41","±28","29.9%","±25.8"
"            5 to 17 years","405","±140","134","±81","33.1%","±18.1"
"            Related children of householder under 18 years","542","±158","175","±81","32.3%","±14.3"
"        18 to 64 years","9,015","±806","2,401","±580","26.6%","±5.8"
"            18 to 34 years","6,595","±870","2,063","±579","31.3%","±7.7"
"            35 to 64 years","2,420","±390","338","±140","14.0%","±5.7"
"        60 years and over","1,576","±314","253","±103","16.1%","±6.4"
"        65 years and over","1,082","±224","104","±49","9.6%","±4.7"
"    SEX","","","","","",""
"        Male","5,704","±613","1,315","±431","23.1%","±6.4"
"        Female","4,935","±623","1,365","±463","27.7%","±8.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","8,957","±727","2,135","±486","23.8%","±5.1"
"        Black or African American alone","1,169","±510","441","±345","37.7%","±24.0"
"        American Indian and Alaska Native alone","0","±17","0","±17","-","**"
"        Asian alone","297","±142","44","±67","14.8%","±19.7"
"        Native Hawaiian and Other Pacific Islander alone","0","±17","0","±17","-","**"
"        Some other race alone","29","±34","19","±31","65.5%","±63.1"
"        Two or more races","187","±109","41","±41","21.9%","±19.2"
"        Hispanic or Latino origin (of any race)","399","±156","167","±94","41.9%","±20.2"
"        White alone, not Hispanic or Latino","8,703","±756","2,077","±501","23.9%","±5.4"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","7,172","±724","1,008","±396","14.1%","±5.0"
"            Less than high school graduate","445","±183","212","±170","47.6%","±24.1"
"            High school graduate (includes equivalency)","1,401","±341","308","±204","22.0%","±12.2"
"            Some college, associate's degree","1,097","±208","233","±127","21.2%","±10.4"
"            Bachelor's degree or higher","4,229","±607","255","±105","6.0%","±2.5"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","7,417","±719","1,150","±349","15.5%","±4.5"
"            Employed","7,254","±718","1,091","±347","15.0%","±4.6"
"                Male","3,997","±506","392","±192","9.8%","±4.6"
"                Female","3,257","±524","699","±325","21.5%","±8.8"
"            Unemployed","163","±69","59","±46","36.2%","±22.8"
"                Male","118","±58","39","±38","33.1%","±26.9"
"                Female","45","±40","20","±27","44.4%","±49.1"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","10,146","±795","2,505","±592","24.7%","±5.3"
"            Worked full-time, year-round in the past 12 months","5,239","±660","103","±55","2.0%","±1.0"
"            Worked part-time or part-year in the past 12 months","2,731","±569","1,431","±448","52.4%","±8.5"
"            Did not work","2,176","±429","971","±366","44.6%","±12.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","1,777","±542","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","3,009","±628","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","3,508","±667","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","4,304","±758","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","4,466","±758","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","5,885","±755","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","7,013","±791","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,881","±749","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,959","±798","2,121","±524","30.5%","±6.3"
"    Male","3,898","±547","954","±346","24.5%","±7.6"
"    Female","3,061","±600","1,167","±444","38.1%","±10.8"
"    15 years","0","±17","0","±17","-","**"
"    16 to 17 years","0","±17","0","±17","-","**"
"    18 to 24 years","2,578","±631","1,497","±493","58.1%","±10.5"
"    25 to 34 years","2,723","±590","290","±121","10.7%","±4.6"
"    35 to 44 years","525","±171","0","±17","0.0%","±5.1"
"    45 to 54 years","251","±102","69","±75","27.5%","±25.4"
"    55 to 64 years","350","±125","168","±82","48.0%","±18.9"
"    65 to 74 years","264","±93","27","±29","10.2%","±10.2"
"    75 years and over","268","±74","70","±43","26.1%","±16.0"
"    Mean income deficit for unrelated individuals (dollars)","8,584","±901","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,816","±655","78","±56","2.0%","±1.4"
"    Worked less than full-time, year-round in the past 12 months","2,059","±547","1,343","±459","65.2%","±8.8"
"    Did not work","1,084","±249","700","±249","64.6%","±11.5"
