"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,643","±695","2,012","±416","20.9%","±3.9"
"    AGE","","","","","",""
"        Under 18 years","509","±156","97","±72","19.1%","±14.1"
"            Under 5 years","165","±95","28","±29","17.0%","±19.6"
"            5 to 17 years","344","±119","69","±50","20.1%","±14.9"
"            Related children of householder under 18 years","499","±161","87","±79","17.4%","±15.4"
"        18 to 64 years","7,852","±653","1,745","±399","22.2%","±4.4"
"            18 to 34 years","5,560","±586","1,402","±369","25.2%","±5.9"
"            35 to 64 years","2,292","±282","343","±140","15.0%","±5.7"
"        60 years and over","1,820","±257","268","±101","14.7%","±5.5"
"        65 years and over","1,282","±194","170","±80","13.3%","±5.9"
"    SEX","","","","","",""
"        Male","5,170","±595","971","±267","18.8%","±4.8"
"        Female","4,473","±422","1,041","±258","23.3%","±5.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","8,616","±641","1,710","±400","19.8%","±4.0"
"        Black or African American alone","542","±227","190","±97","35.1%","±20.2"
"        American Indian and Alaska Native alone","29","±43","29","±43","100.0%","±48.3"
"        Asian alone","177","±68","18","±29","10.2%","±16.4"
"        Native Hawaiian and Other Pacific Islander alone","0","±15","0","±15","-","**"
"        Some other race alone","52","±46","33","±38","63.5%","±41.8"
"        Two or more races","227","±110","32","±33","14.1%","±14.9"
"        Hispanic or Latino origin (of any race)","333","±137","72","±56","21.6%","±17.8"
"        White alone, not Hispanic or Latino","8,380","±635","1,687","±401","20.1%","±4.2"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","6,685","±512","779","±191","11.7%","±2.8"
"            Less than high school graduate","322","±88","73","±54","22.7%","±14.6"
"            High school graduate (includes equivalency)","1,627","±308","234","±96","14.4%","±5.2"
"            Some college, associate's degree","1,030","±196","244","±126","23.7%","±10.9"
"            Bachelor's degree or higher","3,706","±419","228","±110","6.2%","±2.9"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","6,709","±597","948","±250","14.1%","±3.5"
"            Employed","6,518","±601","841","±247","12.9%","±3.5"
"                Male","3,765","±513","364","±153","9.7%","±4.1"
"                Female","2,753","±389","477","±169","17.3%","±5.3"
"            Unemployed","191","±86","107","±73","56.0%","±21.2"
"                Male","144","±69","73","±52","50.7%","±24.0"
"                Female","47","±42","34","±40","72.3%","±36.7"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","9,177","±666","1,915","±402","20.9%","±3.9"
"            Worked full-time, year-round in the past 12 months","4,838","±529","126","±77","2.6%","±1.6"
"            Worked part-time or part-year in the past 12 months","2,416","±416","1,169","±315","48.4%","±7.7"
"            Did not work","1,923","±281","620","±164","32.2%","±7.0"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","1,033","±328","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","2,476","±466","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,893","±503","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,574","±568","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,747","±597","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,997","±638","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,382","±670","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,212","±713","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,376","±695","1,769","±400","27.7%","±5.0"
"    Male","3,611","±570","887","±266","24.6%","±6.3"
"    Female","2,765","±387","882","±246","31.9%","±7.2"
"    15 years","10","±18","10","±18","100.0%","±82.2"
"    16 to 17 years","0","±15","0","±15","-","**"
"    18 to 24 years","2,175","±525","1,098","±351","50.5%","±11.3"
"    25 to 34 years","2,280","±401","236","±112","10.4%","±4.8"
"    35 to 44 years","335","±125","30","±44","9.0%","±12.6"
"    45 to 54 years","379","±109","85","±89","22.4%","±19.8"
"    55 to 64 years","443","±143","170","±91","38.4%","±18.5"
"    65 to 74 years","402","±123","100","±70","24.9%","±14.9"
"    75 years and over","352","±95","40","±32","11.4%","±8.5"
"    Mean income deficit for unrelated individuals (dollars)","7,014","±784","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,379","±531","108","±75","3.2%","±2.2"
"    Worked less than full-time, year-round in the past 12 months","1,802","±401","1,108","±311","61.5%","±8.6"
"    Did not work","1,195","±206","553","±163","46.3%","±8.6"
