"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","10,370","±842","1,909","±480","18.4%","±4.3"
"    AGE","","","","","",""
"        Under 18 years","582","±212","143","±139","24.6%","±22.8"
"            Under 5 years","107","±59","0","±19","0.0%","±25.7"
"            5 to 17 years","475","±206","143","±139","30.1%","±27.7"
"            Related children of householder under 18 years","581","±211","142","±138","24.4%","±22.8"
"        18 to 64 years","8,341","±821","1,565","±432","18.8%","±4.6"
"            18 to 34 years","5,611","±883","1,247","±416","22.2%","±6.1"
"            35 to 64 years","2,730","±461","318","±139","11.6%","±5.0"
"        60 years and over","1,837","±350","258","±155","14.0%","±7.8"
"        65 years and over","1,447","±251","201","±148","13.9%","±9.7"
"    SEX","","","","","",""
"        Male","5,095","±608","880","±339","17.3%","±6.0"
"        Female","5,275","±697","1,029","±319","19.5%","±5.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","8,656","±762","1,539","±409","17.8%","±4.2"
"        Black or African American alone","953","±437","229","±257","24.0%","±24.7"
"        American Indian and Alaska Native alone","0","±19","0","±19","-","**"
"        Asian alone","203","±134","29","±29","14.3%","±16.5"
"        Native Hawaiian and Other Pacific Islander alone","0","±19","0","±19","-","**"
"        Some other race alone","25","±50","11","±22","44.0%","±13.3"
"        Two or more races","533","±233","101","±73","18.9%","±14.0"
"        Hispanic or Latino origin (of any race)","337","±182","101","±65","30.0%","±23.0"
"        White alone, not Hispanic or Latino","8,623","±758","1,537","±409","17.8%","±4.2"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","7,202","±681","753","±293","10.5%","±4.0"
"            Less than high school graduate","471","±245","214","±181","45.4%","±25.2"
"            High school graduate (includes equivalency)","1,245","±316","393","±184","31.6%","±11.8"
"            Some college, associate's degree","1,367","±304","63","±45","4.6%","±3.5"
"            Bachelor's degree or higher","4,119","±543","83","±49","2.0%","±1.2"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","7,315","±746","704","±209","9.6%","±2.7"
"            Employed","7,129","±744","602","±188","8.4%","±2.5"
"                Male","3,571","±483","275","±125","7.7%","±3.2"
"                Female","3,558","±558","327","±126","9.2%","±3.4"
"            Unemployed","186","±84","102","±59","54.8%","±21.8"
"                Male","91","±59","47","±43","51.6%","±34.4"
"                Female","95","±60","55","±45","57.9%","±32.2"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","9,946","±791","1,767","±437","17.8%","±4.1"
"            Worked full-time, year-round in the past 12 months","5,483","±614","47","±41","0.9%","±0.8"
"            Worked part-time or part-year in the past 12 months","2,203","±408","880","±276","39.9%","±9.1"
"            Did not work","2,260","±421","840","±316","37.2%","±10.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","1,063","±370","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","2,048","±509","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,480","±570","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","2,967","±675","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,319","±610","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,686","±688","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,147","±780","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,323","±719","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,079","±778","1,426","±346","23.5%","±5.1"
"    Male","2,895","±395","529","±174","18.3%","±5.4"
"    Female","3,184","±690","897","±308","28.2%","±7.5"
"    15 years","0","±19","0","±19","-","**"
"    16 to 17 years","1","±8","1","±8","100.0%","±100.0"
"    18 to 24 years","2,252","±541","962","±319","42.7%","±9.3"
"    25 to 34 years","1,994","±507","56","±48","2.8%","±2.4"
"    35 to 44 years","767","±274","74","±74","9.6%","±9.2"
"    45 to 54 years","240","±104","71","±60","29.6%","±20.5"
"    55 to 64 years","209","±87","71","±56","34.0%","±21.6"
"    65 to 74 years","286","±165","128","±139","44.8%","±30.7"
"    75 years and over","330","±143","63","±48","19.1%","±17.6"
"    Mean income deficit for unrelated individuals (dollars)","9,531","±1,197","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,584","±583","47","±41","1.3%","±1.2"
"    Worked less than full-time, year-round in the past 12 months","1,527","±412","770","±255","50.4%","±9.3"
"    Did not work","968","±233","609","±197","62.9%","±13.8"
"    Population in housing units for whom poverty status is determined","10,353","±842","1,903","±479","18.4%","±4.3"
