"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","10,000","±761","2,259","±634","22.6%","±5.3"
"    AGE","","","","","",""
"        Under 18 years","537","±146","59","±39","11.0%","±7.6"
"            Under 5 years","149","±101","12","±18","8.1%","±13.0"
"            5 to 17 years","388","±167","47","±36","12.1%","±9.7"
"            Related children of householder under 18 years","508","±142","30","±26","5.9%","±5.3"
"        18 to 64 years","8,244","±730","2,038","±636","24.7%","±6.3"
"            18 to 34 years","5,555","±735","1,736","±640","31.3%","±8.6"
"            35 to 64 years","2,689","±303","302","±115","11.2%","±4.3"
"        60 years and over","1,773","±244","223","±81","12.6%","±4.4"
"        65 years and over","1,219","±155","162","±65","13.3%","±5.1"
"    SEX","","","","","",""
"        Male","5,530","±675","1,221","±566","22.1%","±8.5"
"        Female","4,470","±424","1,038","±332","23.2%","±6.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","9,164","±794","2,070","±624","22.6%","±5.6"
"        Black or African American alone","483","±202","107","±76","22.2%","±15.9"
"        American Indian and Alaska Native alone","25","±35","25","±35","100.0%","±52.0"
"        Asian alone","159","±69","0","±16","0.0%","±14.5"
"        Native Hawaiian and Other Pacific Islander alone","0","±16","0","±16","-","**"
"        Some other race alone","48","±42","30","±36","62.5%","±43.3"
"        Two or more races","121","±71","27","±34","22.3%","±24.3"
"        Hispanic or Latino origin (of any race)","245","±152","70","±71","28.6%","±21.0"
"        White alone, not Hispanic or Latino","8,953","±782","2,010","±606","22.5%","±5.6"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","6,631","±481","669","±172","10.1%","±2.5"
"            Less than high school graduate","328","±87","70","±48","21.3%","±12.6"
"            High school graduate (includes equivalency)","1,508","±256","189","±88","12.5%","±5.7"
"            Some college, associate's degree","1,123","±227","225","±109","20.0%","±8.4"
"            Bachelor's degree or higher","3,672","±414","185","±99","5.0%","±2.5"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","7,051","±535","1,268","±398","18.0%","±5.1"
"            Employed","6,805","±538","1,126","±391","16.5%","±5.2"
"                Male","4,022","±485","600","±332","14.9%","±7.4"
"                Female","2,783","±330","526","±241","18.9%","±7.7"
"            Unemployed","246","±96","142","±85","57.7%","±20.4"
"                Male","174","±72","81","±57","46.6%","±25.1"
"                Female","72","±53","61","±52","84.7%","±18.3"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","9,527","±730","2,217","±634","23.3%","±5.6"
"            Worked full-time, year-round in the past 12 months","4,829","±444","150","±106","3.1%","±2.2"
"            Worked part-time or part-year in the past 12 months","2,850","±585","1,539","±507","54.0%","±8.8"
"            Did not work","1,848","±233","528","±163","28.6%","±7.9"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","1,201","±444","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","2,660","±674","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","3,136","±713","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,827","±779","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,998","±779","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","5,202","±805","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,570","±820","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,554","±788","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,489","±713","2,109","±643","32.5%","±7.5"
"    Male","3,804","±671","1,164","±577","30.6%","±11.7"
"    Female","2,685","±348","945","±339","35.2%","±9.8"
"    15 years","12","±19","12","±19","100.0%","±75.1"
"    16 to 17 years","17","±26","17","±26","100.0%","±63.1"
"    18 to 24 years","2,546","±664","1,495","±625","58.7%","±12.6"
"    25 to 34 years","1,944","±324","193","±103","9.9%","±5.0"
"    35 to 44 years","425","±135","42","±43","9.9%","±9.6"
"    45 to 54 years","413","±120","87","±71","21.1%","±14.5"
"    55 to 64 years","474","±146","134","±79","28.3%","±14.9"
"    65 to 74 years","363","±92","90","±58","24.8%","±13.8"
"    75 years and over","295","±80","39","±32","13.2%","±9.5"
"    Mean income deficit for unrelated individuals (dollars)","6,584","±599","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,257","±413","150","±106","4.6%","±3.2"
"    Worked less than full-time, year-round in the past 12 months","2,194","±585","1,477","±504","67.3%","±7.8"
"    Did not work","1,038","±195","482","±173","46.4%","±11.2"
